Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description\
t1,0-0,0,---,4(1-2)\'a0CFBS,O,SDP,Manuel\'a0Margot,Clayton\'a0Kershaw,2%,52%,Strikeout Swinging\
t1,0-0,1,---,4(1-2)\'a0BSSX,,SDP,Wil\'a0Myers,Clayton\'a0Kershaw,-4%,48%,Reached on E6 (throw) (Ground Ball); Myers to 2B\
t1,0-0,1,-2-,1(0-0)\'a0B,,SDP,Yangervis\'a0Solarte,Clayton\'a0Kershaw,-3%,45%,Wild Pitch; Myers to 3B\
t1,0-0,1,--3,5(2-2)\'a0B.*BFFX,R,SDP,Yangervis\'a0Solarte,Clayton\'a0Kershaw,-6%,40%,Single to LF (Ground Ball); Myers Scores/unER\
t1,1-0,1,1--,1(0-0)\'a0X,O,SDP,Hunter\'a0Renfroe,Clayton\'a0Kershaw,2%,42%,Foul Popfly: C (Behind Home)\
t1,1-0,2,1--,4(2-1)\'a0BSBX,O,SDP,Ryan\'a0Schimpf,Clayton\'a0Kershaw,2%,44%,Flyball: LF (Deep SS)\
t2,1-0,0,---,1(0-0)\'a0X,O,SDP,Austin\'a0Hedges,Clayton\'a0Kershaw,2%,41%,Lineout: LF (Deep LF)\
t2,1-0,1,---,4(1-2)\'a0BFFC,O,SDP,Erick\'a0Aybar,Clayton\'a0Kershaw,1%,43%,Strikeout Looking\
t2,1-0,2,---,2(0-1)\'a0CX,O,SDP,Jhoulys\'a0Chacin,Clayton\'a0Kershaw,1%,44%,Flyball: LF (Deep LF-CF)\
t3,1-1,0,---,3(1-1)\'a0BSX,O,SDP,Travis\'a0Jankowski,Clayton\'a0Kershaw,3%,53%,Bunt Groundout: 2B-1B (2B-1B)\
t3,1-1,1,---,7(3-2)\'a0CSFBBBX,O,SDP,Manuel\'a0Margot,Clayton\'a0Kershaw,2%,54%,Popfly: SS (Deep SS-3B Hole)\
t3,1-1,2,---,8(1-2)\'a0FFBFFFFC,O,SDP,Wil\'a0Myers,Clayton\'a0Kershaw,1%,55%,Strikeout Looking\
t4,1-6,0,---,5(2-2)\'a0CBBFS,O,SDP,Yangervis\'a0Solarte,Clayton\'a0Kershaw,1%,94%,Strikeout Swinging\
t4,1-6,1,---,4(2-1)\'a0BBFX,O,SDP,Hunter\'a0Renfroe,Clayton\'a0Kershaw,1%,94%,Groundout: SS-1B (Front of Home)\
t4,1-6,2,---,1(0-0)\'a0X,O,SDP,Ryan\'a0Schimpf,Clayton\'a0Kershaw,0%,95%,Foul Popfly: C (3B into Foul Terr.)\
t5,1-9,0,---,4(1-2)\'a0CCBC,O,SDP,Austin\'a0Hedges,Clayton\'a0Kershaw,0%,99%,Strikeout Looking\
t5,1-9,1,---,3(1-1)\'a0CBX,O,SDP,Erick\'a0Aybar,Clayton\'a0Kershaw,0%,99%,Groundout: 3B-1B (Weak 3B)\
t5,1-9,2,---,3(0-2)\'a0FSC,O,SDP,Christian\'a0Bethancourt,Clayton\'a0Kershaw,0%,99%,Strikeout Looking\
t6,1-12,0,---,3(0-2)\'a0FCC,O,SDP,Travis\'a0Jankowski,Clayton\'a0Kershaw,0%,100%,Strikeout Looking\
t6,1-12,1,---,3(0-2)\'a0FCX,O,SDP,Manuel\'a0Margot,Clayton\'a0Kershaw,0%,100%,Flyball: RF\
t6,1-12,2,---,2(0-1)\'a0CX,O,SDP,Wil\'a0Myers,Clayton\'a0Kershaw,0%,100%,Flyball: CF (Deep CF)\
t7,1-12,0,---,2(1-0)\'a0BX,O,SDP,Yangervis\'a0Solarte,Clayton\'a0Kershaw,0%,100%,Groundout: 2B-1B\
t7,1-12,1,---,6(3-2)\'a0BFBBCX,O,SDP,Hunter\'a0Renfroe,Clayton\'a0Kershaw,0%,100%,Flyball: CF (Deep CF)\
t7,1-12,2,---,1(0-0)\'a0X,R,SDP,Ryan\'a0Schimpf,Clayton\'a0Kershaw,0%,100%,Home Run (Fly Ball to Deep RF Line)\
t7,2-12,2,---,4(1-2)\'a0CCBT,O,SDP,Austin\'a0Hedges,Clayton\'a0Kershaw,0%,100%,Strikeout Swinging\
b1,0-0,0,---,3(0-2)\'a0CFX,O,COL,Charlie\'a0Blackmon,Clayton\'a0Kershaw,-2%,53%,Groundout: P-1B (Front of Home)\
b1,0-0,1,---,7(3-2)\'a0BFBCFBS,O,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,-2%,51%,Strikeout Swinging\
b1,0-0,2,---,6(2-2)\'a0FBBTFX,R,COL,Nolan\'a0Arenado,Clayton\'a0Kershaw,9%,60%,Home Run (Line Drive to Deep LF-CF)\
b1,1-0,2,---,7(3-2)\'a0BFSBBFX,O,COL,Trevor\'a0Story,Clayton\'a0Kershaw,-1%,59%,Groundout: SS-1B\
b2,1-0,0,---,3(0-2)\'a0FCC,O,COL,Mark\'a0Reynolds,Clayton\'a0Kershaw,-2%,63%,Strikeout Looking\
b2,1-0,1,---,2(1-0)\'a0BX,O,COL,Gerardo\'a0Parra,Clayton\'a0Kershaw,-2%,61%,Groundout: 2B-1B (P's Left)\
b2,1-0,2,---,5(2-2)\'a0FBFBX,O,COL,Stephen\'a0Cardullo,Clayton\'a0Kershaw,-1%,60%,Groundout: SS-1B\
b3,1-0,0,---,4(1-2)\'a0CBCS,O,COL,Dustin\'a0Garneau,Clayton\'a0Kershaw,-2%,64%,Strikeout Swinging\
b3,1-0,1,---,4(1-2)\'a0BCSC,O,COL,Jon\'a0Gray,Clayton\'a0Kershaw,-2%,62%,Strikeout Looking\
b3,1-0,2,---,7(3-2)\'a0FBBFFBX,,COL,Charlie\'a0Blackmon,Clayton\'a0Kershaw,3%,65%,Triple to RF (Ground Ball)\
b3,1-0,2,--3,1(0-0)\'a0X,O,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,-4%,61%,Groundout: 3B-1B (SS-3B Hole)\
b4,1-0,0,---,4(2-1)\'a0SBBX,O,COL,Nolan\'a0Arenado,Clayton\'a0Kershaw,-2%,65%,Groundout: 3B-1B (SS-3B Hole)\
b4,1-0,1,---,3(2-0)\'a0BBX,,COL,Trevor\'a0Story,Clayton\'a0Kershaw,4%,69%,Double to LF (Line Drive to Short LF Line)\
b4,1-0,1,-2-,3(1-1)\'a0C*BX,O,COL,Mark\'a0Reynolds,Clayton\'a0Kershaw,-4%,65%,Fielder's Choice SS; Story out at 3B/SS-2B\
b4,1-0,2,1--,4(1-2)\'a0CF1*BX,,COL,Gerardo\'a0Parra,Clayton\'a0Kershaw,2%,67%,Single to CF (Line Drive to Deep CF); Reynolds to 2B\
b4,1-0,2,12-,3(1-1)\'a0F*BX,O,COL,Stephen\'a0Cardullo,Clayton\'a0Kershaw,-4%,62%,Lineout: 3B\
b5,1-1,0,---,8(3-2)\'a0CBSBFFBT,O,COL,Dustin\'a0Garneau,Clayton\'a0Kershaw,-3%,54%,Strikeout Swinging\
b5,1-1,1,---,2(0-1)\'a0CX,O,COL,Jon\'a0Gray,Clayton\'a0Kershaw,-2%,52%,Groundout: 3B-1B (SS-3B Hole)\
b5,1-1,2,---,4(1-2)\'a0BFCX,,COL,Charlie\'a0Blackmon,Clayton\'a0Kershaw,2%,53%,Single to CF (Ground Ball thru SS-2B)\
b5,1-1,2,1--,2(1-1)\'a0BCN,,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,1%,55%,Balk; Blackmon to 2B\
b5,1-1,2,-2-,4(2-1)\'a0BCN.BX,O,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,-5%,50%,Groundout: 3B-1B\
b6,1-1,0,---,1(0-0)\'a0..X,,COL,Nolan\'a0Arenado,Clayton\'a0Kershaw,5%,63%,Single to CF (Fly Ball to Short LF-CF)\
b6,1-1,0,1--,2(1-0)\'a0BX,O,COL,Trevor\'a0Story,Clayton\'a0Kershaw,-5%,58%,Popfly: 2B\
b6,1-1,1,1--,2(1-0)\'a0*BX,RR,COL,Mark\'a0Reynolds,Clayton\'a0Kershaw,23%,81%,Home Run (Fly Ball to Deep LF-CF); Arenado Scores\
b6,3-1,1,---,3(1-1)\'a0FBX,R,COL,Gerardo\'a0Parra,Clayton\'a0Kershaw,7%,89%,Home Run (Fly Ball to Deep CF)\
b6,4-1,1,---,3(1-1)\'a0BFX,O,COL,Stephen\'a0Cardullo,Clayton\'a0Kershaw,-1%,88%,Flyball: RF (Deep CF-RF)\
b6,4-1,2,---,5(2-2)\'a0BSBCC,O,COL,Dustin\'a0Garneau,Clayton\'a0Kershaw,-1%,88%,Strikeout Looking\
t1,0-0,0,---,4(2-1)\'a0CBBX,O,ARI,AJ\'a0Pollock,Clayton\'a0Kershaw,2%,52%,Groundout: 3B-1B (Short 3B Line)\
t1,0-0,1,---,2(0-1)\'a0CX,O,ARI,Chris\'a0Owings,Clayton\'a0Kershaw,2%,54%,Lineout: RF (Deep RF)\
t1,0-0,2,---,4(1-2)\'a0BCSX,O,ARI,Paul\'a0Goldschmidt,Clayton\'a0Kershaw,1%,55%,Flyball: CF (Deep LF-CF)\
t2,0-0,0,---,5(2-2)\'a0BFBFX,O,ARI,Yasmany\'a0Tom\'e1s,Clayton\'a0Kershaw,2%,52%,Lineout: CF (Deep CF)\
