out,batter,name,they,us,b1,b2,b3,call,thisatbat,p4count,balls,strikes,inthezone,t_b,inning
0,Manuel Margot,Kershaw,0,0,0,0,0,C,1,C,0.0,0.0,1,t,1
0,Manuel Margot,Kershaw,0,0,0,0,0,F,2,CF,0.0,1.0,1,t,1
0,Manuel Margot,Kershaw,0,0,0,0,0,B,3,CFB,0.0,2.0,0,t,1
0,Manuel Margot,Kershaw,0,0,0,0,0,S,4,CFBS,1.0,2.0,1,t,1
1,Wil Myers,Kershaw,0,0,0,0,0,B,1,B,0.0,0.0,0,t,1
1,Wil Myers,Kershaw,0,0,0,0,0,S,2,BS,1.0,0.0,1,t,1
1,Wil Myers,Kershaw,0,0,0,0,0,S,3,BSS,1.0,1.0,1,t,1
1,Wil Myers,Kershaw,0,0,0,0,0,X,4,BSSX,1.0,2.0,1,t,1
1,Yangervis Solarte,Kershaw,0,0,0,1,0,B,1,B,0.0,0.0,0,t,1
1,Yangervis Solarte,Kershaw,0,0,0,0,1,B,1,B,0.0,0.0,0,t,1
1,Yangervis Solarte,Kershaw,0,0,0,0,1,B,2,BB,1.0,0.0,0,t,1
1,Yangervis Solarte,Kershaw,0,0,0,0,1,F,3,BBF,2.0,0.0,1,t,1
1,Yangervis Solarte,Kershaw,0,0,0,0,1,F,4,BBFF,2.0,1.0,1,t,1
1,Yangervis Solarte,Kershaw,0,0,0,0,1,X,5,BBFFX,2.0,2.0,1,t,1
1,Hunter Renfroe,Kershaw,1,0,1,0,0,X,1,X,0.0,0.0,1,t,1
2,Ryan Schimpf,Kershaw,1,0,1,0,0,B,1,B,0.0,0.0,0,t,1
2,Ryan Schimpf,Kershaw,1,0,1,0,0,S,2,BS,1.0,0.0,1,t,1
2,Ryan Schimpf,Kershaw,1,0,1,0,0,B,3,BSB,1.0,1.0,0,t,1
2,Ryan Schimpf,Kershaw,1,0,1,0,0,X,4,BSBX,2.0,1.0,1,t,1
0,Austin Hedges,Kershaw,1,0,0,0,0,X,1,X,0.0,0.0,1,t,2
1,Erick Aybar,Kershaw,1,0,0,0,0,B,1,B,0.0,0.0,0,t,2
1,Erick Aybar,Kershaw,1,0,0,0,0,F,2,BF,1.0,0.0,1,t,2
1,Erick Aybar,Kershaw,1,0,0,0,0,F,3,BFF,1.0,1.0,1,t,2
1,Erick Aybar,Kershaw,1,0,0,0,0,C,4,BFFC,1.0,2.0,1,t,2
2,Jhoulys Chacin,Kershaw,1,0,0,0,0,C,1,C,0.0,0.0,1,t,2
2,Jhoulys Chacin,Kershaw,1,0,0,0,0,X,2,CX,0.0,1.0,1,t,2
0,Travis Jankowski,Kershaw,1,1,0,0,0,B,1,B,0.0,0.0,0,t,3
0,Travis Jankowski,Kershaw,1,1,0,0,0,S,2,BS,1.0,0.0,1,t,3
0,Travis Jankowski,Kershaw,1,1,0,0,0,X,3,BSX,1.0,1.0,1,t,3
1,Manuel Margot,Kershaw,1,1,0,0,0,C,1,C,0.0,0.0,1,t,3
