out,batter,name,they,us,b1,b2,b3,call,thisatbat,p4count,balls,strikes,inthezone,t_b,inning
0,Travis Jankowski,Maeda,0,0,0,0,0,S,1,S,0.0,0.0,1,t,1
0,Travis Jankowski,Maeda,0,0,0,0,0,C,2,SC,0.0,1.0,1,t,1
0,Travis Jankowski,Maeda,0,0,0,0,0,B,3,SCB,0.0,2.0,0,t,1
0,Travis Jankowski,Maeda,0,0,0,0,0,B,4,SCBB,1.0,2.0,0,t,1
0,Travis Jankowski,Maeda,0,0,0,0,0,B,5,SCBBB,2.0,2.0,0,t,1
0,Travis Jankowski,Maeda,0,0,0,0,0,B,6,SCBBBB,3.0,2.0,0,t,1
0,Manuel Margot,Maeda,0,0,1,0,0,C,1,C,0.0,0.0,1,t,1
0,Manuel Margot,Maeda,0,0,1,0,0,B,2,CB,0.0,1.0,0,t,1
0,Manuel Margot,Maeda,0,0,1,0,0,X,3,CBX,1.0,1.0,1,t,1
1,Wil Myers,Maeda,0,0,1,0,0,B,1,B,0.0,0.0,0,t,1
1,Wil Myers,Maeda,0,0,1,0,0,F,2,BF,1.0,0.0,1,t,1
1,Wil Myers,Maeda,0,0,1,0,0,F,3,BFF,1.0,1.0,1,t,1
1,Wil Myers,Maeda,0,0,1,0,0,B,4,BFFB,1.0,2.0,0,t,1
1,Wil Myers,Maeda,0,0,1,0,0,F,5,BFFBF,2.0,2.0,1,t,1
1,Wil Myers,Maeda,0,0,1,0,0,B,6,BFFBFB,2.0,2.0,0,t,1
1,Wil Myers,Maeda,0,0,1,0,0,F,7,BFFBFBF,3.0,2.0,1,t,1
1,Wil Myers,Maeda,0,0,1,0,0,F,8,BFFBFBFF,3.0,2.0,1,t,1
1,Wil Myers,Maeda,0,0,1,0,0,X,9,BFFBFBFFX,3.0,2.0,1,t,1
1,Yangervis Solarte,Maeda,0,0,1,0,1,X,1,X,0.0,0.0,1,t,1
1,Ryan Schimpf,Maeda,1,0,1,0,1,C,1,C,0.0,0.0,1,t,1
1,Ryan Schimpf,Maeda,1,0,1,0,1,B,2,CB,0.0,1.0,0,t,1
1,Ryan Schimpf,Maeda,1,0,1,0,1,F,3,CBF,1.0,1.0,1,t,1
1,Ryan Schimpf,Maeda,1,0,1,0,1,F,4,CBFF,1.0,2.0,1,t,1
1,Ryan Schimpf,Maeda,1,0,1,0,1,X,5,CBFFX,1.0,2.0,1,t,1
2,Hunter Renfroe,Maeda,2,0,1,0,0,C,1,C,0.0,0.0,1,t,1
2,Hunter Renfroe,Maeda,2,0,1,0,0,X,2,CX,0.0,1.0,1,t,1
2,Austin Hedges,Maeda,2,0,1,1,0,C,1,C,0.0,0.0,1,t,1
2,Austin Hedges,Maeda,2,0,1,1,0,S,2,CS,0.0,1.0,1,t,1
2,Austin Hedges,Maeda,2,0,1,1,0,X,3,CSX,0.0,2.0,1,t,1
0,Erick Aybar,Maeda,2,0,0,0,0,F,1,F,0.0,0.0,1,t,2
0,Erick Aybar,Maeda,2,0,0,0,0,S,2,FS,0.0,1.0,1,t,2
0,Erick Aybar,Maeda,2,0,0,0,0,X,3,FSX,0.0,2.0,1,t,2
0,Clayton Richard,Maeda,2,0,0,1,0,B,1,B,0.0,0.0,0,t,2
0,Clayton Richard,Maeda,2,0,0,1,0,X,2,BX,1.0,0.0,1,t,2
1,Travis Jankowski,Maeda,2,0,0,0,1,B,1,B,0.0,0.0,0,t,2
1,Travis Jankowski,Maeda,2,0,0,0,1,S,2,BS,1.0,0.0,1,t,2
1,Travis Jankowski,Maeda,2,0,0,0,1,X,3,BSX,1.0,1.0,1,t,2
0,Manuel Margot,Maeda,2,0,0,0,0,C,1,C,0.0,0.0,1,t,3
0,Manuel Margot,Maeda,2,0,0,0,0,X,2,CX,0.0,1.0,1,t,3
1,Wil Myers,Maeda,2,0,0,0,0,S,1,S,0.0,0.0,1,t,3
